Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.600,898.968,5.100,4128,nan
TankLearning,0.314,902.111,2.792,2272,4.945
TankLearning,0.593,907.923,5.139,4128,nan
TankLearning,0.329,911.243,2.961,2272,5.846
TankLearning,0.586,917.104,5.207,4128,nan
TankLearning,0.313,920.308,2.850,2270,5.315
TankLearning,0.591,926.079,5.103,4128,nan
TankLearning,0.312,929.271,2.840,2272,5.796
TankLearning,0.596,935.063,5.124,4128,nan
TankLearning,0.320,938.264,2.839,2271,5.893
TankLearning,0.591,944.112,5.175,4128,nan
TankLearning,0.310,947.250,2.787,2272,5.751
TankLearning,0.593,953.111,5.190,4128,nan
TankLearning,0.331,956.398,2.915,2271,6.069
TankLearning,0.598,962.284,5.218,4128,nan
TankLearning,0.315,965.456,2.826,2272,5.409
TankLearning,0.597,971.351,5.223,4128,nan
TankLearning,0.314,974.536,2.833,2272,6.774
TankLearning,0.593,980.402,5.204,4128,nan
TankLearning,0.315,983.543,2.787,2272,6.082
TankLearning,0.586,989.700,5.494,4128,nan
TankLearning,0.316,992.853,2.793,2272,6.926
TankLearning,0.583,998.737,5.213,4128,nan
TankLearning,0.328,1001.929,2.845,2272,6.879
TankLearning,0.587,1007.801,5.206,4128,nan
TankLearning,0.319,1010.984,2.824,2272,6.253
TankLearning,0.592,1016.940,5.290,4128,nan
TankLearning,0.316,1020.117,2.821,2272,6.382
TankLearning,0.587,1026.587,5.811,4128,nan
TankLearning,0.314,1029.819,2.874,2271,5.450
TankLearning,0.584,1035.731,5.261,4128,nan
TankLearning,0.314,1038.975,2.888,2271,5.838
TankLearning,0.594,1044.899,5.251,4128,nan
TankLearning,0.313,1048.130,2.881,2271,5.782
TankLearning,0.582,1054.102,5.311,4128,nan
TankLearning,0.314,1057.319,2.863,2272,6.370
TankLearning,0.585,1063.275,5.295,4128,nan
TankLearning,0.314,1066.467,2.841,2272,6.790
TankLearning,0.581,1072.432,5.306,4128,nan
TankLearning,0.313,1075.616,2.822,2272,6.943
TankLearning,0.590,1081.734,5.443,4128,nan
TankLearning,0.311,1084.954,2.864,2271,5.985
TankLearning,0.590,1090.942,5.298,4128,nan
TankLearning,0.310,1094.198,2.918,2272,6.232
TankLearning,0.578,1100.136,5.292,4128,nan
TankLearning,0.321,1103.335,2.838,2272,5.644
TankLearning,0.602,1109.386,5.369,4128,nan
TankLearning,0.311,1112.570,2.830,2272,6.267
TankLearning,0.630,1118.838,5.559,4128,nan
TankLearning,0.397,1123.715,4.416,2272,6.823
TankLearning,0.797,1131.339,6.743,4128,nan
TankLearning,0.308,1135.052,3.362,2272,6.323
TankLearning,0.614,1141.192,5.444,4128,nan
TankLearning,0.318,1144.469,2.916,2272,6.222
TankLearning,0.575,1150.535,5.424,4128,nan
TankLearning,0.305,1153.797,2.910,2271,5.800
TankLearning,0.573,1159.907,5.446,4128,nan
TankLearning,0.307,1163.124,2.863,2272,6.679
TankLearning,0.573,1169.262,5.486,4128,nan
TankLearning,0.307,1172.545,2.934,2272,6.728
TankLearning,0.578,1178.625,5.422,4128,nan
TankLearning,0.308,1182.005,3.033,2271,5.456
TankLearning,0.585,1188.107,5.447,4128,nan
TankLearning,0.307,1191.400,2.954,2272,6.742
TankLearning,0.577,1197.510,5.443,4128,nan
TankLearning,0.309,1200.800,2.937,2272,6.598
TankLearning,0.584,1206.921,5.456,4128,nan
