Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TankLearning,0.443,1412.420,2.985,2272,7.293
TankLearning,0.818,1419.121,5.820,4128,nan
TankLearning,0.439,1422.691,3.096,2270,7.273
TankLearning,0.819,1429.327,5.749,4128,nan
TankLearning,0.441,1432.810,3.024,2272,6.790
TankLearning,0.819,1439.504,5.807,4128,nan
TankLearning,0.444,1443.004,3.024,2272,7.595
TankLearning,0.851,1449.722,5.816,4128,nan
TankLearning,0.452,1453.505,3.291,2272,7.228
TankLearning,0.824,1460.275,5.886,4128,nan
TankLearning,0.440,1463.804,3.060,2272,6.693
TankLearning,0.817,1470.484,5.809,4128,nan
TankLearning,0.444,1473.983,3.027,2272,7.347
TankLearning,0.821,1480.649,5.787,4128,nan
TankLearning,0.440,1484.188,3.061,2272,8.205
TankLearning,0.823,1490.859,5.800,4128,nan
TankLearning,0.444,1494.383,3.044,2272,7.501
TankLearning,0.819,1501.083,5.813,4128,nan
TankLearning,0.434,1504.578,3.028,2272,7.989
TankLearning,0.821,1511.339,5.872,4128,nan
TankLearning,0.437,1515.105,3.293,2272,7.103
TankLearning,0.827,1521.551,5.549,4128,nan
TankLearning,0.432,1525.372,3.356,2272,7.508
TankLearning,0.831,1531.822,5.574,4128,nan
TankLearning,0.442,1535.584,3.303,2272,7.328
TankLearning,0.819,1542.034,5.569,4128,nan
TankLearning,0.439,1545.822,3.324,2272,7.435
TankLearning,0.834,1552.292,5.574,4128,nan
TankLearning,0.440,1556.051,3.283,2272,7.352
TankLearning,0.829,1562.561,5.624,4128,nan
TankLearning,0.445,1566.362,3.326,2272,7.253
TankLearning,0.832,1572.880,5.635,4128,nan
TankLearning,0.438,1576.668,3.318,2272,7.322
TankLearning,0.842,1583.187,5.614,4128,nan
TankLearning,0.435,1587.013,3.352,2272,7.603
TankLearning,0.834,1593.518,5.605,4128,nan
TankLearning,0.443,1597.368,3.387,2272,7.494
TankLearning,0.829,1603.930,5.668,4128,nan
TankLearning,0.447,1607.784,3.376,2272,7.173
TankLearning,0.829,1614.343,5.667,4128,nan
TankLearning,0.439,1618.212,3.394,2271,7.504
